Pandit Deendayal Energy University,,,,,,,,,,,,
School of Technology,,,,,,,,,,,,
B.Tech - Computer Engineering,,,,,,,,,,,,
Semester : 3 (3),,,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 13-07-2026]",,,,,,,,,,,,
Day,"08:00 to 08:55 
(Minor)",9.00 to 9. 55,10.00 to 10.55,10:55 to 11:10,11.10 to 12.05,12.10 to 1.05,13:10 to 14:05,2.10 to 3.05,3.10 to 4.05,4:05 to 4:15,4.15 to 5.10,5.15 to 6.10
Monday,MINOR,,,SHORT BREAK,,,"G5G6 (24CS202T) F-504, SONA-L","G5G6 (24CS203T) F-504, HITH-L","G5G6 (24CS201T) F-504, ARSO-T",SHORT BREAK,"G5G6 (24CS204T) F-504, DESW-L",
Tuesday,,,,,,,"G5G6 (24CS202T) F-504, SONA-L","G5G6 (24CS203T) F-504, HITH-L","G5G6 (24CS201T) F-504, PRAS-L",,"G5G6 (24CS204T) F-504, DESW-L",
Wednesday,,"G5 (24CS203P) E216, HITH-P",,,,,"G5G6 (24CS204T) F-504, DESW-L","G5 (24CS202P) E213, SONA-P",,,"G5G6 (24MA202T) F-504, KSP-T",
,,"G6 (24CS204P) E213, DESW-P",,,,,,"G6 (24CS203P) E216, HITH-P",,,,
Thursday,,"G6 (24CS202P) F-202, SONA-P",,,,,"G5G6 (24MA202T) F-504, KSP-L","G5G6 (24CS203T) F-504, HITH-L","G5G6 (24CS201T) F-504, PRAS-L",,"G5G6 (24MA202T) F-504, KSP-L",
,,"G5 (24CS204P) E216, DESW-P",,,,,,,,,,
Friday,,,,,,,"G5G6 (24MA202T) F-504, KSP-L","G5G6 (24CS202T) F-504, SONA-L","G5G6 (24CS201T) F-504, PRAS-L",,,
Saturday,,,,,,,,,,,,
Faculty Abbr.,,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ARSO,,Aarti Solanki,,,24CS201T,,Digital Logic and Design,,,,,
DESW,,Debabrata Swain,,,24CS202P,,Database Management System - Lab,,,,,
HITH,,Hiren Thakkar,,,24CS202T,,Database Management System,,,,,
KSP,,Kocherlakota Stya Pritam,,,24CS203P,,Data Structures Lab,,,,,
PRAS,,Prashant Dwivedy,,,24CS203T,,Data Structures,,,,,
SONA,,Sonam Nahar,,,24CS204P,,Object Oriented Programming Lab,,,,,
UTK,,Utkarsh Tiwari,,,24CS204T,,Object Oriented Programming,,,,,
,,,,,24MA202T,,Discrete Mathematical Structures,,,,,
,,,,,25MSCSQT201T,,Foundations of Quantum Technologies,,,,,
,,,,,,,,,,,,
Dr. Santosh Bharti,,,,,Dr. Shakti Mishra,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,,HoD,,,,Director (School of Technology),,,
