Pandit Deendayal Energy University,,,,,,,,,,,
School of Technology,,,,,,,,,,,
B.Tech - Information and Communication Technology,,,,,,,,,,,
Semester : 1 (1),,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 31-07-2026]",,,,,,,,,,,
Day,09:00-09:55,10:00-10.55,10.55-11.10,11:10-12:05,12:10-13:05,13:05-14:10,14:10-15:05,15:10-16:05,16.05-16.15,16:15-17:10,17:15-18:10
Monday,"H1H2 (24HS101T) C201/2, MAH-L","H1H2 (24MA101T) C201/2, PUJ-L",Short Break,"H2 (24CP101P) C008, GAUR-P",,Lunch,"H1H2 (24CP101T) C201/2, PRAS-L",,Short Break,,
,,,,"H1 (24CP101P) C008, BHB-P",,,,,,,
Tuesday,"H1H2 (24EE101T) C201/2, ECFA-L","H1H2 (24HS101T) C201/2, MAH-L",,"H2 (24ME101T) C014A, PVG-P",,,"H1H2 (24BT101T) C201/2, SHU-L",,,,
,,,,"H1 (24CH101P) C108, ANR-P",,,,,,,
Wednesday,"H1H2 (24CH101T) C201/2, ANMA-L","H1H2 (24EE101T) C201/2, ECFA-L",,"H2 (24EE101P) F-102, RJK-P",,,"H1H2 (24MA101T) C201/2, PUJ-L",,,,
,,,,"H1 (24ME101T) C014A, PVK-P",,,,,,,
Thursday,"H1H2 (24MA101T) C201/2, PUJ-L","H1H2 (24CH101T) C201/2, ANMA-L",,"H1 (24EE101P) F-102, RJK-P",,,"H1H2 (24EE101T) C201/2, ECFA-L",,,,
,,,,"H2 (24CH101P) C108, ANMA-P",,,,,,,
Friday,"H1H2 (24MA101T) C201/2, PUJ-T","H1H2 (24CH101T) C201/2, ANMA-L",,"H1H2 (24PH101T) Sports Ground, MBH-P",,,"H1H2 (24BT101T) C201/2, SHU-L",,,,
Saturday,,,,,,,,,,,
Faculty Abbr.,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ANMA,Anu Manhas,,,24BT101T,,Biological Systems for Engineers,,,,,
ANR,Anirban Das,,,24CH101P,,Engineering Chemistry Lab,,,,,
BHB,Bhoomi Bangoria,,,24CH101T,,Engineering Chemistry,,,,,
ECFA,EC_FAC,,,24CP101P,,Computer Programming - I Laboratory,,,,,
GAUR,Gaurav Bhargava,,,24CP101T,,Computer Programming - I,,,,,
MAH,Mary Hepzibah,,,24EE101P,,Elements of Electrical and Electronics Engineering Lab,,,,,
MBH,Milan Bhatt,,,24EE101T,,Elements of Electrical and Electronics Engineering,,,,,
PRAS,Prashant Dwivedy,,,24HS101T,,English Communication,,,,,
PUJ,Punit Jain,,,24MA101T,,Mathematics - I,,,,,
PVG,Pavan Kumar Gurrala,,,24ME101T,,Workshop Practices,,,,,
PVK,Pravesh Kumar,,,24PH101T,,"Yoga, Health and Hygiene",,,,,
RJK,Rajendra Kumar,,,,,,,,,,
SHU,Shubhank,,,,,,,,,,
,,,,,,,,,,,
Dr. Manoj Kumar,,,,Dr. Paawan Sharma,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,HoD,,,,Director (School of Technology),,,
