Pandit Deendayal Energy University,,,,,,,,,,,
School of Technology,,,,,,,,,,,
B.Tech - Information and Communication Technology,,,,,,,,,,,
Semester : 1 (3),,,,,,,,,,,
"Odd Semester 2026, w.e.f : July 20, 2026[Printed : 31-07-2026]",,,,,,,,,,,
Day,09:00-09:55,10:00-10.55,10.55-11.10,11:10-12:05,12:10-13:05,13:05-14:10,14:10-15:05,15:10-16:05,16.05-16.15,16:15-17:10,17:15-18:10
Monday,"H5H6 (24HS101T) C203, AP-L","H5H6 (24MA101T) C203, ITT-L",Short Break,,"H5H6 (24EE101T) C001, ECFA-L",Lunch,"H5 (24EE101P) F-102, RJK-P",,Short Break,,
Tuesday,"H5H6 (24MA101T) C203, ITT-L","H5H6 (24HS101T) C203, AP-L",,"H5H6 (24CH101T) C202, ADM-L","H5H6 (24EE101T) C202, ECFA-L",,"H6 (24EE101P) F-102, JGJ-P",,,,
Wednesday,"H5H6 (24MA101T) C203, ITT-L","H5H6 (24CP101T) C203, RUZ-L",,"H6 (24ME101T) C014B, SKH-P",,,"H5 (24ME101T) C014B, SKH-P",,,"H5H6 (24BT101T) C203, PNF1-L",
,,,,"H5 (24CH101P) C108, PRCH-P",,,"H6 (24CH101P) C108, NTCH-P",,,,
Thursday,"H5H6 (24CH101T) E313, ADM-L","H5H6 (24MA101T) E313, ITT-T",,"H5H6 (24BT101T) C202, GFTS-L","H5H6 (24EE101T) C202, ECFA-L",,,,,"H5H6 (24PH101T) Sports Ground, MBH-P",
Friday,"H5H6 (24CH101T) C202, ADM-L",,,"H6 (24CP101P) C008, PRAS-P",,,,,,,
,,,,"H5 (24CP101P) C008, RUZ-P",,,,,,,
Saturday,,,,,,,,,,,
Faculty Abbr.,Faculty Name,,,Subject Abbr.,,Subject Name,,,,,
ADM,Amarjyoti Das Mahapatra,,,24BT101T,,Biological Systems for Engineers,,,,,
AP,Aswathi Prakash,,,24CH101P,,Engineering Chemistry Lab,,,,,
ECFA,EC_FAC,,,24CH101T,,Engineering Chemistry,,,,,
GFTS,Giftson Senapathy,,,24CP101P,,Computer Programming - I Laboratory,,,,,
ITT,Isha Talati Math,,,24CP101T,,Computer Programming - I,,,,,
JGJ,Jitendra Jamnani,,,24EE101P,,Elements of Electrical and Electronics Engineering Lab,,,,,
MBH,Milan Bhatt,,,24EE101T,,Elements of Electrical and Electronics Engineering,,,,,
NTCH,Nitin Chaudhari,,,24HS101T,,English Communication,,,,,
PNF1,NF 1 SPT,,,24MA101T,,Mathematics - I,,,,,
PRAS,Prashant Dwivedy,,,24ME101T,,Workshop Practices,,,,,
PRCH,Prakash Chandra,,,24PH101T,,"Yoga, Health and Hygiene",,,,,
RJK,Rajendra Kumar,,,,,,,,,,
RUZ,Rutvij H Jhaveri,,,,,,,,,,
SKH,Salman Md Khan,,,,,,,,,,
,,,,,,,,,,,
Dr. Manoj Kumar,,,,Dr. Paawan Sharma,,,,Prof. Anirbid Sircar,,,
Timetable Coordinator,,,,HoD,,,,Director (School of Technology),,,
